City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
252,Garoua,CM,2021-11-25 15:44:29,9.3,13.4,94.64,13,8,3.47
253,Eyrarbakki,IS,2021-11-25 15:44:30,63.863,-21.1481,42.04,84,94,26.26
254,Manokwari,ID,2021-11-25 15:44:30,-0.8667,134.0833,78.94,81,61,2.73
255,Tilichiki,RU,2021-11-25 15:44:30,60.4667,166.1,10.17,96,100,8.43
256,Tommot,RU,2021-11-25 15:44:31,58.9564,126.2925,-13.4,99,46,1.52
257,Knysna,ZA,2021-11-25 15:44:31,-34.0363,23.0471,66.58,65,1,20.98
258,Gizo,SB,2021-11-25 15:44:32,-8.103,156.8419,82.18,74,44,2.73
259,Quesnel,CA,2021-11-25 15:44:32,52.9999,-122.5029,39.7,70,90,10.36
260,Foumban,CM,2021-11-25 15:44:33,5.7291,10.9001,77.04,49,46,0.78
261,Ostrovnoy,RU,2021-11-25 15:44:33,68.0531,39.5131,11.77,77,81,3.36
262,Abu Samrah,SY,2021-11-25 15:44:33,35.3029,37.1841,60.17,68,96,7.67
263,Antigonish,CA,2021-11-25 15:44:34,45.6169,-61.9986,53.13,97,100,7.0
264,Vila Do Maio,CV,2021-11-25 15:44:34,15.1333,-23.2167,84.99,73,100,7.94
265,Kaeo,NZ,2021-11-25 15:44:35,-35.1,173.7833,59.32,93,30,1.92
266,Touros,BR,2021-11-25 15:44:35,-5.1989,-35.4608,88.7,55,61,14.29
267,Lakes Entrance,AU,2021-11-25 15:44:35,-37.8811,147.981,55.58,95,100,8.21
268,Iqaluit,CA,2021-11-25 15:44:36,63.7506,-68.5145,26.33,68,90,18.99
269,Ornskoldsvik,SE,2021-11-25 15:44:36,63.2909,18.7153,27.55,100,90,0.0
270,Hualmay,PE,2021-11-25 15:44:37,-11.0964,-77.6139,70.2,76,80,9.06
271,Pitea,SE,2021-11-25 15:44:37,65.3172,21.4794,15.1,78,100,9.78
272,Poum,NC,2021-11-25 15:44:38,-20.2333,164.0167,76.84,73,1,4.99
273,Payson,US,2021-11-25 15:44:38,40.0444,-111.7321,34.39,86,1,4.61
274,Gorontalo,ID,2021-11-25 15:44:38,0.5412,123.0595,75.92,95,100,3.49
275,Sembe,CG,2021-11-25 15:44:39,1.6481,14.5806,84.54,56,73,1.81
276,Parabel,RU,2021-11-25 15:45:39,58.6978,81.4825,6.19,96,83,5.48
277,Yar-Sale,RU,2021-11-25 15:45:40,66.8333,70.8333,8.65,94,100,7.81
278,Brae,GB,2021-11-25 15:45:40,60.3964,-1.353,37.31,82,100,7.67
279,Galesong,ID,2021-11-25 15:45:41,-5.3166,119.3661,78.82,80,96,4.88
280,Walvis Bay,NA,2021-11-25 15:45:41,-22.9575,14.5053,65.35,68,40,9.22
281,Trojan,PL,2021-11-25 15:45:41,53.7897,20.2404,37.69,66,52,8.43
282,Waipawa,NZ,2021-11-25 15:45:42,-41.4122,175.5153,57.04,72,30,13.11
283,Sikeston,US,2021-11-25 15:41:54,36.8767,-89.5879,55.29,100,90,4.61
284,Bafq,IR,2021-11-25 15:45:42,31.6128,55.4107,62.31,31,6,4.5
285,Udachnyy,RU,2021-11-25 15:45:43,66.4167,112.4,-19.59,100,57,5.95
286,Bubaque,GW,2021-11-25 15:45:43,11.2833,-15.8333,82.94,74,99,11.41
287,Saldanha,ZA,2021-11-25 15:45:44,-33.0117,17.9442,75.02,44,1,16.67
288,Ahipara,NZ,2021-11-25 15:45:44,-35.1667,173.1667,57.24,89,43,2.28
289,Lotofaga,WS,2021-11-25 15:45:45,-13.9764,-171.8578,74.98,78,39,14.65
290,Esperance,AU,2021-11-25 15:45:45,-33.8667,121.9,57.04,77,100,10.36
291,Lebu,CL,2021-11-25 15:45:46,-37.6167,-73.65,61.9,68,3,9.33
292,Mangaluru,IN,2021-11-25 15:45:46,12.8667,74.8833,81.46,83,75,0.0
293,Ulladulla,AU,2021-11-25 15:45:47,-35.35,150.4667,62.76,94,100,13.27
